year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,177,-48,-188,170
1988,363,189,-126,4
1989,61,93,-158,40
1990,75,67,-200,297
1991,67,20,-117,205
1992,-23,63,-236,181
1993,-101,44,-44,113
1994,54,-52,-199,61
1995,72,-201,-237,23
1996,115,-130,-150,92
1997,-27,-127,-62,81
1998,-44,-113,-178,42
1999,1,-152,-70,35
2000,-28,-100,-218,119
2001,44,-140,-152,-48
2002,-42,-61,-112,116
2003,60,-196,-272,97
2004,108,-133,-231,94
2005,-39,-210,-129,56
2006,30,-190,-133,-14
2007,58,-54,-234,-17
2008,53,-67,-174,115
2009,34,-114,-240,74
2010,21,-83,-225,120
2011,3,-233,-191,21
2012,-54,-76,-259,73
2013,271,82,-117,186
2014,282,-54,-93,104
2015,190,-164,-97,39
2016,239,-121,-140,51
