year,F1,F3,M4
,label F1,label F3,label M4
1987,67,135,1
1988,64,143,1
1989,82,143,2
1990,68,137,2
1991,59,139,2
1992,78,137,3
1993,85,146,1
1994,84,146,2
1995,55,136,2
1996,94,148,2
1997,59,139,2
1998,72,138,0
1999,77,144,1
2000,59,144,1
2001,94,155,0
2002,65,139,3
2003,76,149,1
2004,77,140,2
2005,80,145,3
2006,75,146,2
2007,66,141,1
2008,40,143,1
2009,76,149,1
2010,94,155,2
2011,65,141,0
2012,51,144,2
2013,66,144,2
2014,88,151,1
2015,76,146,4
2016,80,147,3
2016
2017,61,135,1
2018,67,150,2
2019,88,150,3
2020,53,145,1
2021,63,138,2
2022,44,137,3
2023,76,142,0
2024,55,139,1
2025,56,142,1
2026,61,141,1
2027,80,138,3
2028,41,143,2
2029,52,141,2
2030,58,146,3
2031,48,128,2
2032,50,125,1
2033,62,132,1
2034,57,140,1
2035,62,130,2
2036,65,138,3
2037,68,138,1
2038,66,147,1
2039,39,145,1
2040,69,137,3
2041,62,138,2
2042,50,132,1
2043,48,137,2
2044,59,144,1
2045,34,132,2
2046,58,139,1
