year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-0.9,10.3,14.9,7.1
1988,4.4,11.9,14.8,6.9
1989,5.8,12.1,17.0,7.0
1990,6.5,12.8,16.2,7.1
1991,3.3,10.3,17.7,6.2
1992,4.7,13.3,16.8,6.1
1993,3.5,13.0,14.1,4.8
1994,3.6,11.6,17.0,7.3
1995,4.4,11.4,17.3,5.7
1996,-0.3,11.1,15.4,5.4
1997,3.5,11.5,17.3,6.3
1998,5.8,12.8,15.3,5.4
1999,4.5,12.0,17.7,7.2
2000,5.3,12.8,15.7,7.8
2001,3.1,11.3,16.5,8.0
2002,5.6,12.8,17.4,5.4
2003,3.0,13.1,17.4,6.2
2004,4.2,12.8,16.9,7.1
2005,4.1,12.6,16.6,8.3
2006,2.2,12.6,19.0,10.0
2007,6.7,14.2,16.2,7.1
2008,5.5,13.3,16.8,6.7
2009,3.4,13.2,17.3,7.0
2010,1.4,11.5,16.8,4.6
2011,3.7,13.7,16.1,7.8
2012,4.0,11.9,16.6,6.9
2013,1.5,11.2,17.0,8.3
2014,6.0,13.6,17.7,8.7
2015,4.5,11.4,16.8,9.5
2016,4.2,13.0,17.9,6.9
