year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,108,-20,42,155
1988,258,-178,143,140
1989,92,-123,-111,110
1990,72,-120,-51,170
1991,14,12,-196,110
1992,110,-159,-74,195
1993,84,-104,123,245
1994,177,-27,7,233
1995,243,-32,-7,34
1996,13,-175,-29,158
1997,66,12,-127,137
1998,128,34,81,243
1999,158,-96,0,222
2000,155,-81,-8,201
2001,122,-45,181,214
2002,160,-74,-25,199
2003,54,-109,-123,158
2004,169,-105,4,116
2005,132,-115,-16,92
2006,64,-140,-79,127
2007,248,-86,35,151
2008,195,-215,-37,181
2009,116,-101,-87,150
2010,65,-131,94,122
2011,32,-169,55,181
2012,62,-68,-10,214
2013,30,-73,-82,163
2014,57,-80,-142,104
2015,126,-118,38,136
2016,128,-87,-108,58
