year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,151,183,252,214
1988,318,79,342,191
1989,172,166,161,187
1990,173,151,228,240
1991,94,238,116,174
1992,176,140,192,245
1993,152,161,323,285
1994,244,204,284,281
1995,320,199,282,94
1996,73,64,209,207
1997,122,238,121,181
1998,195,261,293,282
1999,207,139,249,269
2000,211,163,210,264
2001,174,199,427,270
2002,237,170,226,251
2003,127,177,171,219
2004,245,158,276,180
2005,208,161,233,163
2006,122,136,230,212
2007,340,188,279,214
2008,275,89,216,237
2009,171,181,196,215
2010,124,132,369,179
2011,99,126,287,253
2012,130,177,258,273
2013,98,160,194,235
2014,147,186,146,177
2015,202,139,308,207
2016,201,173,167,117
