year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha,Tons-ha
2000,63,57,58,94,45,25,24,20,40,37,44,125,112,81,400
2001,55,50,51,99,45,24,23,23,39,38,42,125,114,79,350
2002,73,63,69,98,40,32,25,25,48,38,44,128,115,82,360
2003,63,54,65,84,50,27,22,22,43,30,42,95,63,44,420
2004,67,62,68,94,50,28,24,22,36,25,52,105,87,61,400
2005,68,63,69,78,48,34,23,20,44,26,50,92,81,56,330
2006,64,56,62,89,55,29,22,20,40,29,48,109,81,51,365
2007,51,40,48,110,50,24,27,18,32,25,37,132,103,68,389
2008,66,67,58,100,60,27,28,19,50,28,30,111,105,75,465
2009,75,70,70,90,60,33,26,18,46,34,49,101,92,65,459
2010,65,59,50,94,48,26,21,19,38,26,49,103,59,43,523
2011,61,58,67,105,57,31,29,18,35,26,51,112,63,38
2012,76,70,73,96,52,35,24,18,39,32,31,125,86,57,412
2013,67,62,67,87,57,26,22,18,43,32,44,110,87,62,574
2014,71,68,68,107,59,37,28,25,35,36,42,137,103,72,378
2015,72,66,72,92,53,27,21,20,40,22,48,116,105,74,456
2016,62,58,53,83,45,31,24,25,34,24,36,107,92,61,398
2017,71,64,67,93,62,39,30,30,38,31,47,123,68,52,483

