year,F1,F3,M4
,label F1,label F3,label M4
1987,28,109,1
1988,27,125,2
1989,29,118,3
1990,29,113,3
1991,29,116,3
1992,45,115,0
1993,38,115,4
1994,40,115,1
1995,25,113,3
1996,27,114,2
1997,27,117,2
1998,35,119,2
1999,40,119,4
2000,30,119,3
2001,40,107,3
2002,24,118,3
2003,40,99,5
2004,31,118,0
2005,26,124,4
2006,46,119,4
2007,30,118,3
2008,24,116,2
2009,34,119,4
2010,28,119,3
2011,30,116,3
2012,39,117,3
2013,45,115,3
2014,35,120,3
2015,39,119,3
2016,24,119,3
2016
2017,27,106,3
2018,29,119,4
2019,27,111,3
2020,28,111,6
2021,32,117,5
2022,31,114,5
2023,30,113,3
2024,23,116,6
2025,29,110,2
2026,37,114,6
2027,35,112,3
2028,26,114,4
2029,28,113,4
2030,27,116,3
2031,23,100,2
2032,28,117,2
2033,40,110,4
2034,36,108,4
2035,32,102,3
2036,34,121,3
2037,27,107,4
2038,28,105,5
2039,23,103,2
2040,20,122,5
2041,37,115,4
2042,34,108,3
2043,17,106,4
2044,33,113,3
2045,28,121,1
2046,39,110,1
