year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,16,0,-105,7,0,-189,71,12,141
1988,9,1,-119,6,0,-307,54,4,51
1989,4,0,-153,7,0,-327,63,10,75
1990,4,0,-72,5,0,-272,72,17,38
1991,4,0,-93,5,2,-328,68,13,83
1992,12,0,-69,3,1,-208,65,17,75
1993,5,0,-170,6,2,-367,60,3,56
1994,1,0,-112,4,2,-304,64,2,67
1995,10,0,-70,5,0,-269,49,5,29
1996,10,0,-180,4,1,-382,56,9,123
1997,20,0,-124,6,4,-349,61,6,101
1998,4,0,-66,4,0,-213,64,9,89
1999,13,3,-159,8,2,-397,58,17,95
2000,4,0,-99,7,0,-297,77,14,75
2001,9,0,-77,4,0,-242,64,7,32
2002,10,0,-78,6,0,-243,69,2,106
2003,19,0,-80,6,4,-283,48,14,50
2004,1,0,-81,6,2,-266,76,6,121
2005,8,0,-69,7,0,-275,73,17,55
2006,8,0,-55,6,0,-247,69,13,48
2007,10,0,-104,6,3,-263,77,9,77
2008,10,0,-152,6,2,-303,64,17,107
2009,4,4,-127,8,0,-332,65,8,27
2010,10,1,-9,5,0,-162,64,11,98
2011,3,0,-65,5,2,-263,69,11,52
2012,6,0,-26,5,0,-238,77,5,114
2013,8,0,-67,5,2,-232,65,3,66
2014,14,0,-76,5,0,-279,71,4,45
2015,4,1,-101,5,0,-255,62,10,146
2016,8,0,-53,6,0,-226,71,11,90
2016
2017,11,0,-112,3,2,-283,57,5,137
2018,20,5,-88,8,0,-316,46,2,104
2019,29,0,-125,7,5,-330,50,2,98
2020,23,0,-184,9,2,-405,53,4,91
2021,31,0,-161,10,2,-389,49,2,104
2022,19,0,-176,8,5,-364,47,6,81
2023,15,0,-118,6,0,-340,72,7,99
2024,29,1,-268,10,4,-547,38,14,20
2025,21,0,-89,5,0,-231,45,0,108
2026,29,0,-297,8,4,-583,40,4,72
2027,10,0,-112,3,0,-353,60,13,70
2028,18,0,-136,6,1,-301,52,1,80
2029,20,0,-182,7,6,-465,50,2,54
2030,18,0,-185,6,5,-407,61,5,110
2031,18,0,-119,6,1,-317,52,7,92
2032,14,0,-71,7,2,-303,57,9,73
2033,9,0,-142,9,0,-296,58,1,89
2034,19,0,-165,7,0,-412,52,6,75
2035,14,0,-148,7,1,-342,41,3,115
2036,16,0,-134,8,3,-362,42,9,94
2037,11,0,-110,4,1,-300,55,15,83
2038,29,0,-164,7,5,-404,36,3,79
2039,33,0,-176,8,6,-357,44,3,79
2040,22,1,-146,6,1,-344,37,9,43
2041,32,0,-207,9,0,-389,37,3,111
2042,21,0,-180,8,3,-408,44,1,61
2043,25,0,-147,8,1,-367,48,2,59
2044,11,0,-153,6,1,-361,49,2,129
2045,11,0,-154,4,1,-317,53,4,75
2046,33,0,-87,3,5,-283,46,6,49

min,,,,0
max,,,,14
steps,,,,8
decimal
