year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,46,-128,-187,243
1988,329,-76,-139,36
1989,140,-207,-315,242
1990,161,-173,-321,186
1991,142,-112,-200,133
1992,13,-202,-163,180
1993,-40,-54,-174,156
1994,203,-137,-79,305
1995,294,-225,-254,156
1996,77,-194,-216,186
1997,15,-105,-274,209
1998,57,-9,-172,209
1999,87,-69,165,249
2000,57,-97,-25,507
2001,343,-132,-34,131
2002,81,-148,-111,395
2003,72,-170,-244,274
2004,128,-186,-184,153
2005,18,-182,-283,149
2006,171,-160,-152,286
2007,219,-63,-133,76
2008,209,-44,-102,189
2009,79,-125,-236,287
2010,96,-195,-256,252
2011,54,-210,-88,174
2012,-30,-29,-181,290
2013,132,-99,-236,232
2014,300,-127,-124,186
2015,94,-132,-70,69
2016,307,-55,-296,23
