year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,125,146,123,322
1988,429,195,143,122
1989,233,137,60,347
1990,259,116,46,264
1991,220,146,124,205
1992,110,126,148,265
1993,75,212,156,245
1994,293,159,237,392
1995,395,78,102,258
1996,182,102,143,264
1997,113,210,70,311
1998,165,262,152,284
1999,180,201,471,334
2000,152,172,276,590
2001,428,156,263,228
2002,193,141,199,479
2003,190,157,136,356
2004,228,137,137,234
2005,119,135,85,242
2006,252,134,202,377
2007,322,216,160,162
2008,309,242,185,262
2009,183,176,101,373
2010,197,114,84,330
2011,153,117,204,266
2012,89,253,151,373
2013,225,161,129,321
2014,413,181,197,277
2015,188,187,257,158
2016,413,212,67,119
