year,A1,A2,A3
,label A1,label A2,label A3
1987,23,2149,151
1988,13,2152,94
1989,23,2115,146
1990,21,2116,125
1991,18,2057,140
1992,29,2271,155
1993,31,2071,212
1994,16,2110,136
1995,18,1868,129
1996,22,1998,186
1997,38,2128,282
1998,19,2081,136
1999,30,2165,197
2000,11,2200,94
2001,18,2023,116
2002,31,1954,194
2003,32,2016,214
2004,15,2260,122
2005,24,2276,167
2006,21,2367,138
2007,18,2143,132
2008,29,2104,181
2009,14,2162,122
2010,25,2048,173
2011,18,2148,128
2012,24,2125,148
2013,27,2095,203
2014,25,2166,190
2015,14,2258,112
2016,7,2187,71
2016
2017,38,1913,251
2018,40,2038,227
2019,53,1798,311
2020,55,1926,311
2021,28,2057,266
2022,49,2017,288
2023,28,1974,261
2024,44,2070,334
2025,44,1809,256
2026,42,2009,333
2027,27,2046,232
2028,42,1891,214
2029,34,1912,268
2030,32,2006,257
2031,38,1823,218
2032,62,2003,341
2033,23,1761,170
2034,36,1817,261
2035,37,1743,227
2036,43,2136,291
2037,40,1947,224
2038,43,1681,287
2039,43,1721,280
2040,44,2003,270
2041,44,1970,267
2042,49,1807,309
2043,53,1593,319
2044,40,1875,234
2045,25,2109,168
2046,57,1926,323

min,,1400
max,,3000
steps,,9
decimal
