year,annual-estival-days
1987,34
1988,20
1989,76
1990,56
1991,46
1992,46
1993,28
1994,50
1995,60
1996,43
1997,60
1998,33
1999,46
2000,35
2001,38
2002,31
2003,73
2004,54
2005,60
2006,64
2007,17
2008,24
2009,45
2010,56
2011,38
2012,38
2013,58
2014,44
2015,45
2016,53
