year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,4.1,13.9,19.4,9.7
1988,8.1,14.9,17.7,10.1
1989,8.2,15.4,19.9,10.7
1990,9.3,15.0,20.2,9.5
1991,6.2,13.0,20.2,8.7
1992,6.4,14.6,18.4,9.7
1993,7.5,14.7,17.6,8.5
1994,8.1,13.5,18.5,11.4
1995,8.1,13.9,19.2,10.4
1996,6.7,13.5,17.8,8.6
1997,7.5,14.1,19.7,10.6
1998,7.7,13.9,18.3,9.0
1999,7.8,14.6,19.1,9.6
2000,7.2,14.6,18.3,10.7
2001,8.1,13.9,17.9,9.2
2002,8.7,13.9,17.4,11.3
2003,7.2,15.7,20.5,9.7
2004,6.9,14.4,18.8,9.4
2005,6.9,15.1,19.0,9.6
2006,5.8,14.8,20.4,11.2
2007,8.9,15.5,17.0,8.7
2008,8.2,14.4,17.1,8.7
2009,6.1,14.7,18.7,10.5
2010,5.2,14.5,18.6,7.9
2011,7.7,15.7,18.4,12.0
2012,6.8,13.8,18.2,10.3
2013,5.8,12.8,19.6,10.3
2014,8.8,14.4,18.7,11.3
2015,6.9,15.1,18.2,11.6
2016,7.9,13.8,19.8,9.7
