year,annual-average-temperature
1987,9.0
1988,9.7
1989,10.1
1990,10.1
1991,9.6
1992,9.7
1993,9.5
1994,9.5
1995,10.1
1996,9.3
1997,10.4
1998,10.5
1999,10.6
2000,10.2
2001,9.9
2002,10.4
2003,10.4
2004,11.0
2005,11.1
2006,11.0
2007,10.6
2008,10.0
2009,10.2
2010,8.6
2011,10.5
2012,9.9
2013,9.9
2014,10.7
2015,10.0
2016,10.4
