year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,4.0,10.4,14.2,7.3
1988,5.4,11.3,13.7,8.3
1989,6.8,10.6,15.1,7.7
1990,7.1,11.1,14.7,7.5
1991,4.8,10.4,15.5,7.6
1992,6.5,11.7,13.7,6.9
1993,6.5,11.0,13.4,6.8
1994,5.2,9.9,13.9,9.0
1995,5.5,10.7,15.5,8.4
1996,5.1,9.9,14.4,7.5
1997,6.4,10.9,15.3,9.0
1998,7.8,11.1,14.7,8.3
1999,6.5,11.7,15.6,8.5
2000,7.0,11.0,15.1,7.6
2001,4.9,10.8,14.5,9.2
2002,7.2,11.2,14.6,8.4
2003,6.1,11.6,15.4,8.2
2004,7.0,12.4,15.6,9.2
2005,7.3,11.9,15.6,9.4
2006,6.3,11.9,16.4,9.4
2007,6.6,12.1,14.4,9.3
2008,6.3,11.5,14.6,7.4
2009,5.9,11.7,14.8,8.1
2010,3.6,11.0,14.4,5.1
2011,6.4,11.9,14.4,9.2
2012,7.5,10.5,14.3,7.3
2013,4.5,10.6,15.6,8.6
2014,6.4,12.3,15.3,8.6
2015,5.7,10.7,14.0,9.6
2016,6.2,11.5,15.4,8.5
