year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,96,-59,60,171
1988,227,-115,104,144
1989,91,-61,2,132
1990,173,-11,-53,246
1991,119,-59,-82,225
1992,132,-82,64,122
1993,80,92,31,123
1994,191,-84,-10,119
1995,148,-149,-117,198
1996,179,-37,-82,160
1997,73,6,-71,223
1998,73,-2,-5,202
1999,97,-73,27,173
2000,59,-49,-49,310
2001,66,-66,-7,101
2002,136,67,-33,302
2003,71,-36,-96,121
2004,68,-125,-58,110
2005,-16,-43,-101,125
2006,49,-124,12,134
2007,116,-110,32,101
2008,180,-173,154,148
2009,73,-61,77,184
2010,135,-121,71,155
2011,171,-32,11,386
2012,106,74,109,270
2013,270,-11,-78,248
2014,301,-58,-57,321
2015,141,-56,47,330
2016,235,-30,8,91
