year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1226,10,-324,8
1988,1291,10,-175,2
1989,1381,9,-278,1
1990,1233,7,-273,8
1991,1228,9,-252,1
1992,1456,10,-286,0
1993,1383,11,-366,1
1994,1416,10,-288,6
1995,1240,8,-215,6
1996,1108,9,-431,8
1997,1126,9,-264,13
1998,1576,12,-213,2
1999,1379,11,-354,11
2000,1583,12,-413,8
2001,1462,11,-249,11
2002,1304,8,-159,12
2003,1639,12,-244,0
2004,1682,11,-203,2
2005,1294,10,-199,1
2006,1298,11,-215,7
2007,1481,10,-211,0
2008,1128,10,-79,3
2009,1201,9,-258,0
2010,1392,9,-204,0
2011,1378,10,-287,0
2012,1309,11,-235,6
2013,1511,10,-217,0
2014,1515,11,-274,7
2015,1328,10,-229,3
2016,1061,10,-165,4
2016
2017,1314,10,-309,15
2018,1502,9,-250,13
2019,1671,11,-214,12
2020,1542,10,-345,6
2021,1346,12,-383,3
2022,1712,11,-205,3
2023,1603,11,-352,3
2024,1663,8,-374,1
2025,1776,12,-321,3
2026,1370,10,-356,9
2027,1643,15,-336,2
2028,1746,11,-265,4
2029,1567,9,-374,2
2030,1768,10,-344,0
2031,1355,9,-298,5
2032,1359,9,-228,4
2033,1660,11,-429,5
2034,1732,12,-236,0
2035,1430,8,-380,5
2036,1566,10,-409,0
2037,1844,12,-404,4
2038,1488,11,-163,0
2039,1470,11,-285,5
2040,1463,10,-312,1
2041,1292,10,-302,1
2042,1769,12,-343,13
2043,1842,10,-329,0
2044,1678,9,-355,4
2045,1671,12,-226,7
2046,1489,10,-274,0
