year,annual-precipitations
1987,955
1988,969
1989,828
1990,774
1991,542
1992,870
1993,911
1994,906
1995,702
1996,489
1997,708
1998,885
1999,795
2000,985
2001,946
2002,952
2003,584
2004,694
2005,666
2006,769
2007,789
2008,792
2009,820
2010,836
2011,634
2012,793
2013,839
2014,844
2015,591
2016,761
