year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-0.7,11.8,16.8,5.9
1988,3.8,13.2,16.2,6.1
1989,4.5,12.8,17.4,6.1
1990,5.6,12.6,16.6,5.8
1991,2.7,10.6,18.7,4.5
1992,3.6,13.5,17.6,5.4
1993,2.8,14.3,15.8,4.6
1994,4.1,12.8,18.0,7.6
1995,3.3,12.0,17.3,5.4
1996,0.3,12.1,15.2,4.3
1997,2.9,11.6,17.1,5.0
1998,4.3,12.7,15.9,4.3
1999,3.6,12.7,17.7,4.8
2000,4.0,13.5,15.8,6.7
2001,3.6,12.2,16.4,6.0
2002,4.0,12.9,16.1,6.5
2003,2.4,14.2,18.3,5.1
2004,2.8,12.5,17.0,5.2
2005,2.6,13.7,17.0,6.0
2006,0.9,13.0,18.7,8.2
2007,5.5,14.9,15.8,5.2
2008,4.3,13.6,16.0,5.2
2009,1.5,13.7,17.2,6.0
2010,1.2,12.2,16.4,3.9
2011,3.6,14.2,16.4,6.3
2012,2.8,12.7,16.4,5.7
2013,0.5,11.7,17.1,6.6
2014,5.2,13.5,16.6,7.2
2015,2.8,12.7,17.7,7.6
2016,3.6,12.5,18.1,5.0
