year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,173,272,272,238
1988,352,155,216,246
1989,146,268,168,247
1990,198,175,161,241
1991,119,129,108,186
1992,170,170,207,324
1993,115,172,239,384
1994,270,223,203,210
1995,304,141,140,117
1996,104,70,107,207
1997,143,237,93,236
1998,141,225,178,341
1999,186,132,208,270
2000,182,151,359,293
2001,330,175,239,202
2002,312,120,199,321
2003,168,129,137,150
2004,164,145,225,160
2005,155,207,154,150
2006,194,163,196,217
2007,294,171,170,154
2008,260,216,166,149
2009,171,150,202,297
2010,175,164,272,224
2011,109,121,182,222
2012,125,234,156,278
2013,128,255,179,277
2014,161,125,347,212
2015,169,98,192,133
2016,277,293,71,121
