year,F1,F3,M4
,label F1,label F3,label M4
1987,62,143,3
1988,65,135,0
1989,80,138,1
1990,46,144,3
1991,64,130,1
1992,68,119,3
1993,67,135,2
1994,66,139,1
1995,54,136,0
1996,69,148,1
1997,67,141,0
1998,77,134,0
1999,74,140,1
2000,63,130,3
2001,87,148,1
2002,87,147,0
2003,76,133,1
2004,62,131,1
2005,59,132,2
2006,68,127,0
2007,92,146,1
2008,64,130,0
2009,46,123,1
2010,82,136,3
2011,80,138,1
2012,69,139,1
2013,73,135,3
2014,76,144,0
2015,92,143,1
2016,87,153,1
2016
2017,46,129,2
2018,61,134,2
2019,79,141,2
2020,63,131,1
2021,86,145,2
2022,59,135,1
2023,72,142,2
2024,55,122,2
2025,80,140,1
2026,76,143,0
2027,22,122,2
2028,46,122,1
2029,75,132,1
2030,51,127,1
2031,73,135,2
2032,74,137,3
2033,65,138,4
2034,76,138,1
2035,62,139,2
2036,74,129,3
2037,52,133,3
2038,61,131,0
2039,84,142,1
2040,61,128,3
2041,41,135,1
2042,61,135,2
2043,67,130,1
2044,83,135,1
2045,55,140,1
2046,81,137,1
