year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,2,8,-151,7,0,-262,65,21,125
1988,5,12,-33,2,1,-121,66,35,106
1989,4,7,-70,5,1,-238,66,21,81
1990,18,4,-35,6,0,-244,58,49,80
1991,11,0,-44,2,0,-177,59,26,106
1992,17,4,-84,5,0,-194,52,37,99
1993,11,5,-131,4,0,-228,66,49,99
1994,16,1,-100,3,2,-259,54,34,90
1995,6,2,-143,4,0,-177,51,28,149
1996,11,7,-114,2,1,-328,68,34,47
1997,10,0,-106,2,1,-201,62,28,99
1998,16,7,-49,2,7,-160,53,37,101
1999,18,2,-95,3,3,-269,59,21,81
2000,9,0,-151,6,3,-314,49,25,158
2001,12,1,-94,3,2,-225,52,45,134
2002,17,9,-140,3,7,-241,46,38,180
2003,15,7,-136,5,2,-180,54,39,152
2004,25,5,-117,2,8,-154,45,19,192
2005,13,1,-89,3,3,-146,66,25,130
2006,4,6,-105,3,0,-163,67,31,153
2007,12,8,-117,5,4,-178,59,17,201
2008,5,5,-50,2,0,-92,56,37,175
2009,4,2,-107,4,0,-201,67,38,87
2010,5,4,-108,3,3,-190,58,32,95
2011,11,13,-95,5,2,-270,66,27,115
2012,9,5,-140,4,2,-239,58,34,181
2013,10,9,-87,4,1,-184,60,34,169
2014,17,6,-120,3,1,-240,54,46,85
2015,17,7,-90,3,1,-236,54,37,138
2016,2,13,-76,2,1,-118,77,20,156
2016
2017,16,3,-98,3,0,-212,58,27,91
2018,25,7,-80,4,1,-215,47,24,105
2019,30,10,-165,2,4,-164,35,14,228
2020,26,3,-111,5,1,-294,50,22,43
2021,12,12,-165,7,0,-314,55,32,149
2022,29,13,-72,4,2,-218,40,8,197
2023,27,14,-128,3,3,-240,50,13,152
2024,18,0,-50,3,10,-294,51,21,113
2025,25,12,-156,4,1,-311,43,15,152
2026,9,7,-149,3,1,-249,44,29,138
2027,14,0,-78,2,0,-284,58,34,96
2028,32,1,-107,3,2,-247,40,15,132
2029,22,5,-197,3,7,-375,40,14,145
2030,26,3,-160,2,1,-255,48,17,199
2031,16,7,-98,1,0,-246,51,24,89
2032,16,6,-8,5,0,-180,63,15,102
2033,23,3,-136,6,4,-348,50,10,63
2034,19,9,-45,4,3,-187,50,10,168
2035,12,3,-113,4,8,-307,66,17,79
2036,12,5,-106,4,0,-297,49,10,39
2037,29,4,-102,5,4,-290,42,13,95
2038,12,5,-53,2,0,-106,50,26,184
2039,11,5,-122,3,1,-242,62,9,142
2040,6,1,-126,5,0,-226,50,31,153
2041,8,5,-67,4,1,-222,64,24,61
2042,22,10,-138,4,4,-329,40,30,114
2043,32,5,-70,4,5,-255,46,20,119
2044,30,8,-116,4,0,-243,36,4,87
2045,21,6,-114,2,0,-170,49,22,201
2046,20,8,-114,4,5,-172,61,21,161
