year,annual-average-temperature
1987,8.5
1988,9.9
1989,10.3
1990,10.2
1991,9.2
1992,10.1
1993,9.4
1994,10.7
1995,9.5
1996,8.0
1997,9.2
1998,9.3
1999,9.8
2000,10.0
2001,9.6
2002,9.9
2003,10.1
2004,9.4
2005,9.9
2006,10.3
2007,10.3
2008,9.8
2009,9.7
2010,8.4
2011,10.2
2012,9.4
2013,9.0
2014,10.7
2015,10.3
2016,9.8
