year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,109,32,16,172
1988,279,-129,-55,189
1989,68,-26,-122,167
1990,95,-106,-146,172
1991,36,-121,-233,125
1992,87,-136,-84,256
1993,27,-133,-45,316
1994,186,-60,-101,132
1995,224,-121,-165,61
1996,36,-206,-174,145
1997,60,-42,-212,163
1998,48,-46,-94,285
1999,117,-126,-59,220
2000,111,-120,109,225
2001,258,-102,-46,137
2002,221,-165,-66,254
2003,77,-191,-225,84
2004,74,-156,-82,97
2005,70,-112,-169,83
2006,123,-146,-140,148
2007,209,-153,-118,82
2008,165,-84,-119,90
2009,104,-134,-85,234
2010,102,-108,-14,166
2011,26,-201,-86,159
2012,41,-30,-129,220
2013,68,13,-120,214
2014,74,-164,94,157
2015,95,-193,-132,78
2016,205,45,-237,68
