year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,101,198,188,119
1988,160,119,190,113
1989,27,108,71,82
1990,49,113,134,102
1991,37,179,147,114
1992,106,56,117,95
1993,79,131,205,135
1994,134,135,197,101
1995,97,173,174,53
1996,48,143,272,34
1997,44,162,209,118
1998,89,105,162,115
1999,87,193,107,96
2000,104,121,263,112
2001,72,194,299,55
2002,102,159,259,111
2003,36,76,117,97
2004,92,111,114,117
2005,58,153,141,105
2006,52,129,171,123
2007,154,116,209,80
2008,132,64,134,96
2009,65,152,220,136
2010,78,215,206,157
2011,58,135,158,51
2012,78,143,124,85
2013,116,211,162,62
2014,83,137,251,55
2015,56,63,61,90
2016,125,127,203,150
