year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-3.9,11.7,15.9,4.9
1988,2.4,12.9,17.2,4.0
1989,4.0,12.9,17.8,4.5
1990,4.8,13.1,16.1,5.0
1991,0.9,11.0,17.7,4.0
1992,2.0,13.4,18.3,3.4
1993,0.6,13.6,15.4,3.4
1994,1.9,12.4,18.1,4.5
1995,2.2,12.4,17.6,2.8
1996,-3.3,12.8,15.2,3.8
1997,1.0,12.0,17.1,3.9
1998,3.1,14.1,16.2,2.4
1999,1.8,13.1,18.4,4.2
2000,2.4,14.9,16.0,7.2
2001,1.2,12.2,17.2,4.3
2002,3.4,14.3,18.3,2.8
2003,-0.8,13.9,18.0,4.3
2004,0.5,12.4,17.3,5.4
2005,0.2,12.8,17.8,4.6
2006,-2.8,13.5,19.1,7.5
2007,3.9,14.5,17.1,3.9
2008,3.5,13.3,17.3,5.7
2009,0.2,13.4,18.1,4.4
2010,-1.6,12.7,17.8,2.0
2011,0.3,14.6,17.6,5.7
2012,0.5,13.7,18.0,4.2
2013,-1.9,13.3,17.3,6.4
2014,3.4,13.3,18.5,6.2
2015,3.0,12.6,19.3,6.7
2016,2.1,14.4,18.2,4.3
