year,annual-frozen-days
1987,111
1988,101
1989,72
1990,64
1991,100
1992,93
1993,104
1994,78
1995,104
1996,132
1997,99
1998,76
1999,99
2000,64
2001,101
2002,85
2003,108
2004,89
2005,106
2006,98
2007,75
2008,56
2009,92
2010,110
2011,84
2012,87
2013,99
2014,63
2015,69
2016,79
