year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,125,146,123,322
1988,429,195,143,122
1989,233,137,60,347
1990,259,116,46,250
1991,220,146,124,205
1992,110,126,148,265
1993,75,212,156,245
1994,273,176,227,326
1995,379,90,118,198
1996,186,129,100,236
1997,120,163,56,290
1998,156,214,165,294
1999,158,251,233,326
2000,141,176,176,474
2001,390,146,199,179
2002,206,128,133,446
2003,181,138,137,279
2004,224,112,126,202
2005,114,138,77,229
2006,193,127,242,367
2007,280,243,156,131
2008,272,210,205,182
2009,164,218,106,422
2010,185,112,89,323
2011,132,52,233,225
2012,71,219,116,441
2013,249,146,117,370
2014,352,150,151,266
2015,222,173,209,165
2016,344,190,54,137
