year,annual-estival-days
1987,36
1988,20
1989,78
1990,56
1991,49
1992,39
1993,21
1994,47
1995,49
1996,40
1997,57
1998,31
1999,49
2000,32
2001,37
2002,31
2003,70
2004,45
2005,54
2006,54
2007,10
2008,23
2009,40
2010,52
2011,36
2012,34
2013,50
2014,44
2015,34
2016,40
