year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha,Tons-ha
2000,62,51,60,68,50,23,20,20,44,30,63,115,73,47,440
2001,49,47,50,79,60,21,24,25,34,30,55,125,58,36,355
2002,72,62,65,82,60,32,22,20,42,25,64,120,67,44,430
2003,60,60,53,69,40,30,24,25,35,25,60,113,42,27,450
2004,68,64,60,75,60,28,21,20,28,25,66,115,66,47,430
2005,67,63,,62,50,37,21,20,35,25,63,96,52,36,340
2006,66,64,55,81,55,28,25,20,35,25,62,102,63,47,330
2007,46,44,48,91,47,22,27,18,26,15,51,130,79,58,355
2008,63,63,53,80,52,30,23,19,33,25,29,119,77,59,433
2009,70,69,66,72,53,33,25,18,44,31,62,112,71,55,417
2010,64,61,51,67,50,27,22,19,35,25,62,93,43,33,474
2011,58,55,56,85,53,31,27,18,31,25,59,115,50,38
2012,70,69,58,77,49,35,25,18,38,29,30,125,74,50,238
2013,63,62,50,76,53,30,23,18,39,31,54,117,70,52,487
2014,68,68,56,92,60,33,27,23,40,35,54,136,82,63,327
2015,73,68,63,66,51,29,20,19,43,26,60,110,89,68,300
2016,61,60,40,63,50,35,23,15,31,21,34,102,73,49,424
2017,71,65,60,85,62,37,30,20,39,31,38,116,63,48,455
