year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,43,-135,-184,241
1988,334,-78,-133,41
1989,134,-219,-329,240
1990,161,-170,-332,172
1991,143,-102,-194,139
1992,23,-171,-130,180
1993,-28,-45,-146,165
1994,181,-117,-77,239
1995,277,-202,-221,107
1996,86,-163,-255,156
1997,25,-151,-284,193
1998,46,-57,-148,221
1999,61,-20,-91,240
2000,42,-90,-132,380
2001,295,-158,-106,91
2002,98,-153,-181,354
2003,60,-189,-233,192
2004,119,-207,-196,117
2005,9,-166,-279,135
2006,106,-163,-100,280
2007,180,-36,-121,45
2008,170,-78,-77,110
2009,58,-83,-221,337
2010,83,-214,-234,245
2011,28,-286,-56,132
2012,-42,-65,-203,364
2013,160,-123,-252,282
2014,244,-162,-170,175
2015,123,-143,-117,71
2016,236,-74,-292,54
