year,annual-average-temperature
1987,11.5
1988,12.4
1989,13.4
1990,13.3
1991,11.7
1992,12.0
1993,11.6
1994,12.9
1995,12.8
1996,11.6
1997,12.9
1998,12.1
1999,12.8
2000,12.5
2001,12.2
2002,12.8
2003,13.1
2004,12.3
2005,12.6
2006,12.7
2007,12.4
2008,12.0
2009,12.4
2010,11.5
2011,13.3
2012,12.3
2013,11.9
2014,13.1
2015,12.8
2016,12.4

min,9
max,15
steps,7
decimal
