year,F1,F3,M4
,label F1,label F3,label M4
1987,39,115,7
1988,28,106,4
1989,30,115,2
1990,28,116,3
1991,43,117,5
1992,22,115,1
1993,22,113,3
1994,36,121,5
1995,47,119,2
1996,45,127,3
1997,30,111,3
1998,29,113,1
1999,41,114,1
2000,27,120,5
2001,31,114,2
2002,19,108,3
2003,45,122,1
2004,43,116,1
2005,57,130,1
2006,41,111,4
2007,33,122,4
2008,26,122,2
2009,35,123,3
2010,29,123,4
2011,36,116,6
2012,31,119,4
2013,37,117,3
2014,27,117,0
2015,23,119,6
2016,30,117,1
2016
2017,44,124,3
2018,26,108,4
2019,25,114,4
2020,37,111,2
2021,42,104,4
2022,25,119,5
2023,43,121,4
2024,22,117,4
2025,28,115,3
2026,29,119,3
2027,26,108,1
2028,21,115,4
2029,37,113,2
2030,31,119,5
2031,36,109,2
2032,32,112,3
2033,37,118,1
2034,22,110,6
2035,28,105,3
2036,29,118,2
2037,27,114,5
2038,33,109,5
2039,27,99,5
2040,38,110,3
2041,39,117,6
2042,41,125,6
2043,28,117,5
2044,28,117,1
2045,28,114,2
2046,44,119,4
