year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.9,13.6,18.9,9.4
1988,7.7,14.6,17.2,9.9
1989,8.2,15.1,19.8,10.5
1990,9.1,14.7,19.9,9.2
1991,6.0,12.8,19.7,8.1
1992,6.2,14.3,18.0,9.3
1993,7.1,14.2,16.9,8.0
1994,8.2,13.6,18.6,11.2
1995,8.0,13.9,19.2,9.9
1996,6.5,13.6,17.8,8.4
1997,7.3,14.1,19.7,10.3
1998,7.7,13.9,18.0,8.8
1999,7.9,14.5,19.3,9.5
2000,7.2,14.4,18.3,10.2
2001,7.9,14.0,17.8,9.0
2002,8.7,13.8,17.6,10.9
2003,7.0,15.6,20.3,9.3
2004,6.6,14.4,18.7,9.3
2005,6.8,14.7,19.0,9.5
2006,5.5,14.6,19.8,10.7
2007,8.7,15.5,16.7,8.7
2008,8.2,14.4,16.8,8.6
2009,6.2,14.6,18.4,10.0
2010,5.2,14.7,18.2,7.7
2011,7.8,15.7,17.9,11.7
2012,7.0,13.7,18.0,10.1
2013,5.5,12.5,19.4,10.2
2014,8.5,14.3,18.6,11.1
2015,6.8,14.7,17.9,11.7
2016,7.7,13.5,19.4,8.9
