year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,66,131,122,107
1988,119,57,210,112
1989,59,58,62,101
1990,97,86,143,96
1991,63,112,113,64
1992,87,85,172,172
1993,77,77,159,202
1994,149,89,324,139
1995,116,149,106,71
1996,41,133,166,189
1997,85,154,219,221
1998,162,130,198,206
1999,156,179,219,223
2000,109,143,192,285
2001,122,94,301,135
2002,125,156,102,167
2003,43,183,159,181
2004,95,108,257,127
2005,84,139,189,128
2006,83,166,163,198
2007,110,119,176,139
2008,126,103,230,186
2009,78,141,263,155
2010,87,125,154,101
2011,93,95,169,152
2012,79,251,303,140
2013,54,123,90,132
2014,136,139,133,139
2015,125,171,174,85
2016,90,134,129,103
