year,annual-hydric-deficit
1987,-44
1988,-37
1989,-309
1990,-158
1991,-183
1992,-106
1993,-68
1994,64
1995,-118
1996,5
1997,62
1998,189
1999,257
2000,226
2001,85
2002,-25
2003,-28
2004,11
2005,-11
2006,40
2007,-59
2008,58
2009,75
2010,-88
2011,-108
2012,212
2013,-224
2014,-36
2015,2
2016,-83
