year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,39,-72,-90,79
1988,88,-198,-10,84
1989,8,-204,-181,68
1990,37,-183,-77,64
1991,24,-109,-130,33
1992,35,-216,-66,141
1993,18,-198,-62,175
1994,84,-156,47,89
1995,65,-77,-139,33
1996,5,-91,-63,154
1997,28,-95,-55,185
1998,114,-90,-8,174
1999,125,-54,-9,195
2000,59,-86,-8,261
2001,83,-149,69,83
2002,84,-90,-153,133
2003,-11,-73,-88,144
2004,48,-158,25,96
2005,41,-101,-44,93
2006,44,-77,-89,162
2007,61,-155,-69,105
2008,72,-171,9,149
2009,39,-116,27,124
2010,50,-121,-79,62
2011,39,-187,-64,104
2012,14,14,80,105
2013,7,-146,-173,87
2014,79,-115,-114,114
2015,79,-80,-43,46
2016,45,-96,-90,58
