year,annual-precipitations
1987,426
1988,499
1989,279
1990,422
1991,351
1992,516
1993,515
1994,701
1995,442
1996,529
1997,679
1998,697
1999,778
2000,730
2001,652
2002,549
2003,565
2004,587
2005,539
2006,609
2007,545
2008,645
2009,636
2010,466
2011,508
2012,773
2013,398
2014,547
2015,556
2016,455
