year,A1,A2,A3
,label A1,label A2,label A3
1987,0,4146,44
1988,2,4404,24
1989,1,4355,21
1990,0,4128,20
1991,5,4368,57
1992,6,4398,53
1993,3,4034,45
1994,0,4361,2
1995,1,4462,27
1996,1,4172,6
1997,0,4293,17
1998,2,4519,19
1999,2,4228,53
2000,4,4335,52
2001,1,4392,18
2002,9,4496,58
2003,0,4309,22
2004,2,4593,41
2005,1,4459,14
2006,2,4470,32
2007,0,4403,8
2008,0,4586,25
2009,0,4364,29
2010,6,4358,50
2011,1,4527,19
2012,8,4339,74
2013,4,4350,29
2014,10,4219,74
2015,6,4517,51
2016,0,4468,5
2016
2017,4,4102,48
2018,2,3834,34
2019,6,4095,40
2020,5,3984,49
2021,5,3899,55
2022,2,4007,25
2023,1,4117,20
2024,0,3976,11
2025,2,4412,18
2026,4,3906,66
2027,15,4286,131
2028,5,3701,40
2029,6,3709,52
2030,12,3598,125
2031,5,3739,37
2032,3,3854,29
2033,3,3782,37
2034,2,4085,38
2035,0,3998,22
2036,4,3822,52
2037,1,4206,24
2038,7,3808,58
2039,1,3843,44
2040,0,4254,17
2041,1,3628,22
2042,12,3587,102
2043,0,3892,21
2044,6,3978,63
2045,0,3811,9
2046,1,4009,31

min,,2400
max,,5100
steps,,10
decimal
