year,A1,A2,A3
,label A1,label A2,label A3
1987,14,2882,95
1988,25,2509,174
1989,26,2974,150
1990,7,2760,66
1991,8,2754,92
1992,21,2805,147
1993,2,2559,64
1994,7,2829,69
1995,18,2641,123
1996,9,2597,105
1997,13,2515,133
1998,6,2840,75
1999,15,2775,174
2000,22,2578,190
2001,21,2804,131
2002,22,2701,131
2003,26,2971,204
2004,19,2503,163
2005,21,2828,135
2006,19,2769,143
2007,13,2935,118
2008,10,2804,69
2009,26,2742,159
2010,10,2944,77
2011,10,2522,81
2012,35,2977,228
2013,14,2669,105
2014,18,2933,114
2015,15,2759,100
2016,16,2891,126
2016
2017,32,2806,235
2018,53,2594,300
2019,44,2253,290
2020,55,2367,331
2021,39,2396,303
2022,23,2460,163
2023,15,2541,154
2024,30,2343,235
2025,24,2471,176
2026,22,2641,173
2027,40,2521,263
2028,31,2429,214
2029,26,2564,224
2030,33,2726,239
2031,47,2420,284
2032,28,2491,183
2033,21,2301,179
2034,45,2610,315
2035,28,2713,217
2036,33,2336,247
2037,35,2265,234
2038,18,2475,141
2039,13,2530,117
2040,14,2474,123
2041,28,2342,170
2042,33,2540,217
2043,29,2587,226
2044,37,2519,242
2045,22,2313,170
2046,33,2542,199

min,,1600
max,,3200
steps,,9
decimal



