year,annual-estival-days
1987,39
1988,29
1989,59
1990,46
1991,55
1992,45
1993,38
1994,46
1995,55
1996,44
1997,55
1998,44
1999,52
2000,50
2001,49
2002,38
2003,88
2004,52
2005,51
2006,60
2007,43
2008,36
2009,55
2010,49
2011,53
2012,50
2013,47
2014,32
2015,53
2016,43
