year,annual-average-temperature
1987,9.7
1988,10.9
1989,11.1
1990,11.1
1991,10.2
1992,10.5
1993,10.1
1994,11.6
1995,11.1
1996,9.9
1997,11.2
1998,10.7
1999,11.3
2000,11.6
2001,10.9
2002,11.7
2003,11.9
2004,10.8
2005,11.0
2006,11.6
2007,11.4
2008,10.8
2009,11.3
2010,10.1
2011,12.0
2012,10.8
2013,10.6
2014,11.9
2015,11.8
2016,11.0

min,8
max,14
steps,7
decimal



