year,annual-precipitations
1987,750
1988,816
1989,527
1990,566
1991,471
1992,746
1993,820
1994,792
1995,889
1996,647
1997,645
1998,693
1999,772
2000,822
2001,917
2002,741
2003,551
2004,711
2005,645
2006,718
2007,686
2008,673
2009,565
2010,653
2011,604
2012,710
2013,969
2014,667
2015,514
2016,802
