year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-5.2,11.3,15.3,4.1
1988,0.5,12.7,16.5,2.7
1989,3.3,12.5,16.7,3.9
1990,3.9,12.7,15.3,4.2
1991,-0.3,11.0,16.8,3.4
1992,1.0,12.6,17.7,2.8
1993,-0.5,13.3,15.0,2.3
1994,0.6,12.1,18.0,3.5
1995,1.6,12.4,17.1,1.7
1996,-4.6,13.0,15.3,3.3
1997,0.1,11.4,16.6,3.0
1998,1.8,13.7,15.7,1.1
1999,0.8,13.2,18.0,3.6
2000,1.5,14.4,15.5,6.4
2001,0.3,12.2,17.4,3.2
2002,2.6,14.3,18.5,1.6
2003,-1.8,13.2,17.6,3.9
2004,-0.7,11.9,16.7,5.1
2005,-0.7,12.5,17.8,4.1
2006,-4.3,13.2,18.9,7.1
2007,2.8,14.3,17.1,3.5
2008,2.7,13.3,16.9,5.3
2009,-0.4,13.2,17.7,3.8
2010,-2.4,13.1,18.0,1.9
2011,-0.7,14.5,17.5,4.9
2012,-0.9,13.5,18.0,3.6
2013,-2.3,13.6,16.9,6.0
2014,1.8,13.5,18.2,5.0
2015,2.5,12.6,18.9,5.7
2016,1.5,14.6,18.1,3.9
