year,spring-oat,sugar-beet,wheat,winter-rapeseed,bean,maize-for-grain,barley,apple,potatoes,buckwheat,rye,sunflower,triticale,vetch
,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha
2000,19,394.271,32.268,22,,60.637,25.396,88,193.762,12,19,15,27.34,14
2001,25,357.977,35.336,24,14,61,31,146,162,11,24,14,32.156,13
2002,25,443.363,38.539,22,14,62,32,129,193,11,25,15,32.289,15
2003,22,410.042,34.047,19,14,53,28,152,179,11,21,17,28.527,13
2004,28,428.261,42.811,30,14,57,35,144,196,13,28,16,35.185,16
2005,25,409.903,39.545,26,15,57,32,122,176,11,24,17,32.674,14
2006,19,437.893,32.447,26,15,42,26,142,150,7,20,12,26.769,11
2007,25,512.527,39.381,27,15,66,33,59,207,12,24,17,32.907,12
2008,23,464.846,40.716,27,14,58,30,165,191,11,25,18,33.444,17
2009,27,542.634,41.725,31,14,62,34,151,191,12,27,18,35.727,17
2010,26,483.579,44.29,24,14,60,35,110,211,11,27,15,34.541,17
2011,25,574,41.348,22,13,72,33,136,230,12,24,19,33.369,14
2012,29,582.476,41.438,26,14,73,36,148,244,13,28,18,33.769,14
2013,27,580.066,44.367,29,14,66,36,159,211,13,29,18,36.314,15
2014,30,682.504,49.721,34,14,66,41,181,278,13,32,17,40.173,17
2015,26,519.904,45.744,29,14,47,35,176,210,11,28,16,35.217,14
2016,29,664.922,45.802,27,14,73,38,203,286,15,28,17,37.148,16
2017,30,678.976,48.773,30,14,72,40,138,279,14,31,19,39.29,16
