year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,8,40,-74,2,22,-211,61,57,94
1988,24,37,-123,6,8,-243,49,37,127
1989,15,44,-54,4,14,-206,57,32,66
1990,14,46,-67,5,4,-196,62,53,97
1991,7,56,-136,5,6,-298,59,50,78
1992,6,34,-19,6,4,-206,73,48,51
1993,21,30,-127,5,5,-318,54,19,69
1994,9,40,-127,4,6,-293,66,42,90
1995,4,64,-65,3,15,-197,67,20,65
1996,11,33,-161,3,10,-315,55,36,100
1997,13,32,-167,2,0,-258,46,40,113
1998,1,21,-45,0,2,-70,81,40,74
1999,4,31,-28,3,4,-193,57,58,120
2000,26,59,-106,2,8,-239,31,36,73
2001,10,44,-35,4,10,-102,62,46,91
2002,22,41,-107,6,20,-287,59,46,63
2003,9,35,-44,3,18,-260,67,24,47
2004,16,61,-40,1,0,-176,63,34,47
2005,17,43,-87,4,2,-256,61,44,70
2006,10,54,-139,5,1,-235,52,41,91
2007,1,39,-88,5,17,-202,68,30,105
2008,5,35,-140,5,1,-220,59,59,93
2009,6,45,-70,2,4,-196,54,42,51
2010,18,53,-60,5,19,-248,66,43,83
2011,14,36,-104,2,11,-163,65,44,91
2012,17,39,-67,5,3,-180,62,46,85
2013,22,62,-39,3,15,-180,56,41,53
2014,10,64,-108,2,1,-244,62,42,63
2015,32,47,-23,4,16,-219,49,37,110
2016,13,41,-132,4,12,-314,60,38,70
2016
2017,17,17,-103,4,22,-286,59,27,98
2018,19,28,-160,6,10,-175,49,32,190
2019,8,35,-134,4,4,-198,54,21,99
2020,10,27,-90,2,3,-192,59,26,93
2021,2,36,-49,4,8,-103,81,20,148
2022,30,51,-170,3,7,-226,36,26,59
2023,8,20,-158,4,4,-402,61,39,49
2024,30,39,-179,5,7,-270,47,33,174
2025,19,44,-110,3,13,-275,44,39,65
2026,8,56,-193,5,8,-369,65,27,71
2027,11,29,-168,2,10,-333,66,39,41
2028,22,35,-109,0,5,-93,64,27,154
2029,8,44,-170,3,2,-280,60,38,143
2030,14,23,-216,4,18,-340,45,37,148
2031,16,46,-99,1,15,-183,49,34,95
2032,19,33,-105,5,7,-298,46,20,105
2033,19,48,-127,6,7,-280,48,30,102
2034,16,24,-99,3,6,-149,59,32,104
2035,20,38,-159,2,16,-319,55,34,78
2036,18,36,-50,4,5,-244,61,19,51
2037,7,43,-63,4,8,-168,66,13,111
2038,10,57,-146,7,12,-248,59,30,146
2039,23,45,-79,5,13,-213,60,32,138
2040,23,58,-185,3,0,-271,53,25,96
2041,11,29,-160,4,14,-246,59,27,84
2042,11,31,-52,3,5,-192,60,41,82
2043,39,39,-181,5,18,-213,44,19,172
2044,31,35,-165,6,9,-236,38,46,139
2045,7,38,-121,2,7,-225,63,24,133
2046,24,39,-217,7,12,-283,55,45,163
