year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,4,-86,-83,99
1988,32,-175,-119,41
1989,-25,-116,-250,53
1990,-44,-203,-97,33
1991,-10,-107,-165,64
1992,33,-208,-166,50
1993,30,-211,-106,56
1994,35,-146,-165,88
1995,33,-135,52,0
1996,4,-107,-33,14
1997,-8,-116,-41,101
1998,38,-109,-107,69
1999,23,1,-205,50
2000,60,-250,-83,54
2001,-7,-13,68,14
2002,110,-159,-106,86
2003,-13,-231,-209,84
2004,47,-98,-173,51
2005,32,-188,-170,44
2006,23,-177,-189,42
2007,83,-212,-95,15
2008,63,-230,-143,48
2009,31,-142,-66,71
2010,29,17,-38,102
2011,1,-227,-10,-11
2012,29,-148,-130,38
2013,41,-13,-112,8
2014,36,-161,-132,50
2015,-13,-229,-238,38
2016,7,-239,-193,119
