year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,104,150,0
1988,85,141,0
1989,90,133,1
1990,107,155,1
1991,100,148,0
1992,78,147,0
1993,83,142,0
1994,77,139,0
1995,107,152,0
1996,71,141,0
1997,76,141,0
1998,80,142,0
1999,83,140,1
2000,109,145,0
2001,85,154,0
2002,87,146,1
2003,84,144,1
2004,99,155,1
2005,16,149,1
2006,9,142,1
2007,96,148,0
2008,104,150,0
2009,103,151,0
2010,87,141,1
2011,9,153,0
2012,97,150,0
2013,100,148,1
2014,108,153,1
2015,107,150,0
2016,105,155,0
2016
2017,67,143,1
2018,89,140,0
2019,85,136,0
2020,100,150,0
2021,94,164,0
2022,93,141,0
2023,85,149,3
2024,82,137,0
2025,9,143,0
2026,110,157,0
2027,82,145,0
2028,99,150,0
2029,105,151,0
2030,87,142,0
2031,99,141,0
2032,86,141,1
2033,103,150,0
2034,92,147,0
2035,9,145,1
2036,94,149,0
2037,95,150,1
2038,101,155,1
2039,95,153,0
2040,9,148,0
2041,92,154,0
2042,89,139,1
2043,92,141,0
2044,84,138,0
2045,97,150,0
2046,93,146,0
