year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,33,-55,-95,110
1988,159,-118,-139,118
1989,6,-172,-215,29
1990,36,-128,-192,107
1991,24,-158,-200,71
1992,26,-105,-145,145
1993,-13,-183,-103,149
1994,78,-111,-68,60
1995,165,-99,-148,58
1996,17,-216,-130,154
1997,43,-39,-136,146
1998,0,-62,-141,145
1999,71,-96,-102,149
2000,63,-128,36,141
2001,135,-105,72,129
2002,91,-140,-150,153
2003,2,-165,-238,82
2004,52,-142,-149,72
2005,6,-87,-125,33
2006,83,-144,-44,111
2007,83,-80,-47,80
2008,109,-25,-124,81
2009,38,-68,-167,97
2010,3,-242,-79,132
2011,2,-212,-96,93
2012,10,9,-114,182
2013,30,-5,-110,177
2014,84,-139,22,200
2015,116,-154,-128,85
2016,141,30,-239,52
