year,A1,A2,A3
,label A1,label A2,label A3
1987,10,2600,87
1988,23,2934,136
1989,6,2933,53
1990,18,2771,127
1991,7,2731,85
1992,14,2650,79
1993,5,2296,64
1994,8,2703,62
1995,7,2352,59
1996,14,2644,112
1997,3,2867,73
1998,13,2520,108
1999,12,2613,110
2000,16,2669,108
2001,9,2833,69
2002,19,2663,133
2003,20,2870,139
2004,4,2634,61
2005,9,2971,78
2006,19,2580,148
2007,23,2581,156
2008,6,2653,49
2009,16,2574,130
2010,24,2600,163
2011,0,2825,30
2012,14,2417,96
2013,4,2831,55
2014,26,2657,151
2015,5,2998,40
2016,13,2841,120
2016
2017,31,2260,203
2018,21,2584,172
2019,22,2471,184
2020,39,2354,236
2021,22,2546,175
2022,18,2276,128
2023,20,2314,165
2024,22,2482,172
2025,34,2282,212
2026,22,2494,182
2027,33,2161,253
2028,26,2530,192
2029,9,2568,104
2030,22,2196,185
2031,30,2782,159
2032,23,2547,157
2033,38,2446,235
2034,18,2375,148
2035,43,2461,261
2036,17,2416,137
2037,19,2427,137
2038,12,2452,127
2039,20,2385,144
2040,30,2628,180
2041,5,2363,61
2042,15,2330,112
2043,21,2521,134
2044,21,2612,136
2045,10,2354,96
2046,25,2262,150

min,,1600
max,,3200
steps,,9
decimal



