year,annual-estival-days
1987,35
1988,27
1989,52
1990,41
1991,48
1992,40
1993,28
1994,45
1995,52
1996,34
1997,49
1998,34
1999,51
2000,41
2001,46
2002,28
2003,72
2004,42
2005,45
2006,53
2007,34
2008,29
2009,48
2010,42
2011,38
2012,35
2013,43
2014,32
2015,47
2016,42
