year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,2.4,9.1,13.1,5.7
1988,3.8,9.9,13.3,6.7
1989,5.5,9.6,13.9,5.6
1990,5.7,9.8,13.6,6.2
1991,3.2,9.3,14.2,6.1
1992,4.9,10.4,12.6,4.8
1993,5.1,9.3,12.2,4.6
1994,3.7,9.5,13.5,7.2
1995,3.8,9.3,14.4,6.4
1996,3.8,9.2,13.8,5.8
1997,5.3,9.3,14.4,7.4
1998,6.3,9.4,13.3,5.7
1999,4.6,10.0,14.0,6.5
2000,5.4,9.0,13.1,6.4
2001,3.0,9.5,13.5,7.4
2002,5.0,10.2,13.8,7.0
2003,4.8,10.9,14.8,6.5
2004,4.6,10.8,13.8,7.1
2005,5.3,9.8,13.9,7.0
2006,3.9,9.7,15.3,7.7
2007,5.6,10.4,13.3,7.1
2008,4.8,9.7,13.9,5.9
2009,4.7,10.1,14.3,6.2
2010,3.1,10.1,13.4,4.4
2011,4.7,10.8,13.1,7.7
2012,6.0,8.3,13.1,5.3
2013,3.0,9.2,14.5,7.3
2014,5.6,10.8,13.8,7.4
2015,4.5,9.4,13.2,7.7
2016,4.3,9.5,14.4,6.8
