year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,171,172,169,143
1988,214,137,224,118
1989,167,96,140,99
1990,232,176,201,237
1991,112,161,131,143
1992,152,188,260,209
1993,157,242,243,289
1994,273,104,128,225
1995,187,157,279,219
1996,282,152,158,260
1997,114,315,134,407
1998,155,191,241,262
1999,120,160,165,201
2000,88,243,201,368
2001,259,108,206,239
2002,146,186,228,526
2003,120,161,59,211
2004,161,221,168,234
2005,152,166,115,289
2006,215,88,109,249
2007,189,250,269,195
2008,188,190,199,227
2009,170,164,262,408
2010,217,116,195,215
2011,200,164,287,158
2012,86,282,240,330
2013,186,107,181,231
2014,305,154,241,290
2015,142,193,266,257
2016,301,238,177,184
