year,annual-average-temperature
,(°C)
1987,7.6
1988,8.4
1989,8.7
1990,8.8
1991,8.2
1992,8.2
1993,7.8
1994,8.5
1995,8.5
1996,8.2
1997,9.1
1998,8.7
1999,8.8
2000,8.5
2001,8.4
2002,9.0
2003,9.3
2004,9.1
2005,9.0
2006,9.2
2007,9.1
2008,8.6
2009,8.9
2010,7.8
2011,9.1
2012,8.2
2013,8.5
2014,9.4
2015,8.8
2016,8.8
