year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,70,-223,-374,74
1988,17,-285,-494,60
1989,-104,-259,-392,-39
1990,-145,-199,-428,45
1991,-46,-286,-315,-35
1992,47,-268,-455,159
1993,36,-363,-466,76
1994,110,-281,-348,515
1995,497,-351,-363,185
1996,204,-305,-417,125
1997,169,-251,-434,481
1998,51,-275,-401,126
1999,-5,-373,-369,36
2000,18,-361,-478,7
2001,-85,-321,-488,-7
2002,-65,-349,-246,173
2003,32,-319,-445,18
2004,103,-251,-405,43
2005,152,-328,-269,257
2006,250,-349,-351,61
2007,72,-304,-411,252
2008,-67,-282,-393,-1
2009,171,-273,-364,89
2010,111,-282,-394,60
2011,-55,-287,-394,6
2012,118,-240,-446,-13
2013,96,-298,-431,11
2014,75,-80,-193,149
2015,245,-273,-330,0
2016,47,-341,-462,-65
