year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,54,117,2
1988,60,125,3
1989,68,131,2
1990,53,121,3
1991,40,118,4
1992,45,116,3
1993,46,124,3
1994,54,123,2
1995,30,117,3
1996,44,123,3
1997,60,115,3
1998,43,115,4
1999,46,115,2
2000,54,113,3
2001,25,130,3
2002,45,112,2
2003,43,101,3
2004,56,105,1
2005,56,120,2
2006,54,121,3
2007,61,113,2
2008,49,120,4
2009,45,124,4
2010,61,113,3
2011,37,119,1
2012,48,114,1
2013,65,123,2
2014,64,116,2
2015,33,116,4
2016,57,115,2
2016
2017,46,106,3
2018,46,114,4
2019,43,106,4
2020,40,122,3
2021,35,121,4
2022,43,114,4
2023,43,120,3
2024,27,117,4
2025,61,127,3
2026,41,102,4
2027,51,113,4
2028,35,119,3
2029,58,122,4
2030,53,125,4
2031,52,117,2
2032,50,114,3
2033,59,126,3
2034,74,126,3
2035,22,116,2
2036,36,109,4
2037,88,129,4
2038,47,109,5
2039,32,107,4
2040,40,112,3
2041,34,111,3
2042,61,111,3
2043,34,122,3
2044,28,133,3
2045,43,9,3
2046,45,110,4
