year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,176,154,91,192
1988,145,100,25,194
1989,47,142,81,93
1990,15,207,73,164
1991,65,97,142,90
1992,205,126,28,310
1993,175,35,18,204
1994,238,123,144,642
1995,628,69,83,315
1996,293,101,48,239
1997,300,155,23,594
1998,171,104,72,259
1999,118,21,76,171
2000,153,76,48,132
2001,57,79,29,144
2002,72,44,192,283
2003,162,92,27,139
2004,222,91,8,167
2005,266,45,138,362
2006,371,47,123,176
2007,189,79,33,367
2008,69,76,51,139
2009,288,94,41,198
2010,239,84,56,174
2011,71,75,59,126
2012,242,163,21,128
2013,215,105,48,133
2014,198,272,227,259
2015,361,102,129,126
2016,175,69,14,74
