year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,83,143,126,132
1988,83,217,226,84
1989,50,187,167,81
1990,66,129,246,93
1991,46,163,156,70
1992,66,134,282,146
1993,89,126,148,67
1994,115,136,157,156
1995,108,208,192,51
1996,61,208,216,116
1997,44,158,242,127
1998,94,249,219,115
1999,89,243,209,131
2000,143,132,255,95
2001,104,137,363,85
2002,120,156,142,137
2003,73,144,169,110
2004,143,156,175,113
2005,111,177,174,104
2006,100,135,208,82
2007,150,101,234,68
2008,130,171,235,122
2009,129,210,152,196
2010,80,264,323,95
2011,71,169,207,67
2012,91,134,141,141
2013,152,270,146,88
2014,126,374,197,101
2015,114,161,141,124
2016,158,121,198,229
