year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-6.0,11.7,15.5,3.9
1988,-0.3,12.4,16.6,2.2
1989,3.0,12.8,16.6,4.0
1990,3.7,12.7,15.1,4.1
1991,-0.9,11.3,17.0,3.4
1992,0.4,12.6,17.7,2.9
1993,-1.1,13.2,15.3,2.3
1994,0.8,12.2,18.0,3.0
1995,0.9,12.3,16.6,1.1
1996,-5.3,13.4,14.9,3.4
1997,-0.4,11.9,16.4,2.7
1998,1.6,13.9,15.9,0.7
1999,0.8,13.4,17.6,3.1
2000,0.5,14.4,15.6,6.5
2001,0.0,12.5,17.3,2.2
2002,2.1,14.1,18.2,1.9
2003,-2.5,13.5,17.7,3.8
2004,-1.2,12.1,16.8,5.0
2005,-1.5,12.6,17.6,3.9
2006,-4.6,13.1,18.6,6.4
2007,2.6,14.1,17.2,2.8
2008,2.2,13.1,16.8,5.5
2009,-0.9,13.4,18.1,3.7
2010,-2.5,13.7,17.9,2.5
2011,-0.8,14.1,17.5,4.2
2012,-1.5,13.9,18.5,3.3
2013,-2.3,13.9,16.6,5.8
2014,1.9,13.2,18.0,4.9
2015,2.4,12.6,19.0,5.4
2016,1.2,14.1,17.9,3.3
