year,annual-precipitations
1987,483
1988,610
1989,484
1990,534
1991,435
1992,628
1993,430
1994,564
1995,559
1996,601
1997,571
1998,677
1999,672
2000,625
2001,689
2002,556
2003,496
2004,587
2005,566
2006,525
2007,552
2008,659
2009,687
2010,762
2011,514
2012,506
2013,657
2014,798
2015,540
2016,706

min,300
max,2000
steps,10
decimal
