year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,39,-130,-145,70
1988,28,-54,-39,20
1989,-32,-88,-111,22
1990,-33,-168,-14,29
1991,-13,-107,-126,9
1992,-2,-147,-31,94
1993,32,-171,-122,7
1994,51,-147,-150,99
1995,48,-57,-98,5
1996,23,-72,-21,60
1997,-22,-120,-21,74
1998,26,-32,-39,65
1999,26,-36,-76,79
2000,85,-196,6,32
2001,51,-129,100,32
2002,46,-135,-154,85
2003,18,-160,-130,61
2004,84,-135,-112,50
2005,51,-107,-137,36
2006,59,-160,-121,21
2007,72,-214,-43,23
2008,58,-106,-48,66
2009,82,-87,-155,149
2010,23,2,44,42
2011,9,-141,-67,12
2012,19,-153,-178,90
2013,103,-4,-149,27
2014,47,107,-87,37
2015,39,-120,-197,67
2016,93,-184,-99,181
