year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,35,-293,-420,10
1988,-80,-110,-446,-70
1989,-87,-248,-435,173
1990,-112,-249,-434,-3
1991,4,-367,-456,33
1992,-102,-274,-406,116
1993,-99,-162,-372,70
1994,-46,-270,-426,44
1995,-69,-331,-444,104
1996,41,-253,-408,55
1997,-70,-175,-238,155
1998,-68,-215,-393,-65
1999,-75,-313,-304,37
2000,-86,-184,-367,138
2001,129,-338,-357,-46
2002,-56,-344,-393,108
2003,11,-273,-372,75
2004,-42,-305,-446,-11
2005,-113,-352,-483,47
2006,-61,-302,-384,22
2007,-81,-224,-389,-54
2008,-77,-104,-432,2
2009,-105,-326,-464,11
2010,23,-211,-466,67
2011,-14,-300,-420,-43
2012,-140,-298,-465,36
2013,40,-217,-404,-25
2014,5,-366,-354,-5
2015,-78,-277,-467,21
2016,20,-195,-456,-49
