year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,53,123,3
1988,38,127,3
1989,35,116,2
1990,45,121,3
1991,54,119,4
1992,45,129,3
1993,48,115,3
1994,42,126,4
1995,42,131,3
1996,35,128,4
1997,56,117,4
1998,44,113,2
1999,41,126,3
2000,59,124,3
2001,50,136,2
2002,38,141,4
2003,51,118,2
2004,57,123,4
2005,44,112,2
2006,54,124,3
2007,42,116,3
2008,36,129,2
2009,55,128,4
2010,48,130,3
2011,40,135,3
2012,33,132,3
2013,33,116,3
2014,43,123,2
2015,45,118,3
2016,46,118,4
2016
2017,33,113,2
2018,33,117,3
2019,47,117,3
2020,34,122,3
2021,41,108,4
2022,39,121,3
2023,23,117,4
2024,31,113,3
2025,42,120,4
2026,47,116,2
2027,41,115,4
2028,31,121,3
2029,40,121,3
2030,46,121,4
2031,34,104,3
2032,31,115,2
2033,38,114,3
2034,44,123,3
2035,34,117,3
2036,40,110,4
2037,36,122,3
2038,32,113,3
2039,48,120,3
2040,38,116,2
2041,39,115,3
2042,47,127,4
2043,31,115,3
2044,49,114,2
2045,34,117,4
2046,34,120,3
