year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,2042,9,-761,4
1988,2110,11,-759,3
1989,1988,10,-717,0
1990,2171,11,-820,1
1991,1955,10,-851,1
1992,2056,11,-749,1
1993,2010,9,-747,1
1994,1879,10,-802,2
1995,1756,10,-653,7
1996,2060,12,-782,1
1997,2122,9,-803,0
1998,2164,10,-789,0
1999,2036,11,-686,3
2000,2001,12,-871,2
2001,1943,10,-656,3
2002,1942,11,-760,7
2003,1978,12,-736,0
2004,1915,11,-690,2
2005,2120,10,-754,0
2006,1890,10,-640,3
2007,2147,13,-689,0
2008,1931,11,-746,0
2009,1899,11,-698,4
2010,2071,11,-778,9
2011,1988,11,-771,5
2012,2022,14,-803,7
2013,2096,9,-728,2
2014,1763,12,-554,2
2015,2071,11,-807,0
2016,1849,10,-762,2
2016
2017,2268,11,-744,3
2018,1999,11,-700,2
2019,2119,11,-712,0
2020,2341,11,-778,2
2021,2392,12,-914,0
2022,2252,12,-656,5
2023,2246,12,-829,3
2024,2188,12,-823,0
2025,2121,9,-772,4
2026,2182,11,-811,0
2027,2146,10,-837,0
2028,2201,12,-725,5
2029,2238,11,-799,1
2030,2251,12,-841,0
2031,2105,13,-736,0
2032,2308,13,-752,2
2033,2221,12,-719,1
2034,2160,12,-762,1
2035,2276,12,-776,0
2036,2508,16,-893,4
2037,1990,10,-729,10
2038,1967,11,-679,0
2039,2274,13,-765,0
2040,2373,12,-889,1
2041,2233,12,-753,1
2042,2201,12,-780,1
2043,2142,12,-757,0
2044,2140,10,-670,5
2045,2242,11,-749,0
2046,2360,12,-763,6
